collection_date,collection_week,player_id,player_name,player_name_kr,birth_date,age,nationality,height,preferred_foot,shirt_number,position,team,team_id,league,league_id,season,market_value,contract_end,is_injured,injury_status,fotmob_url,matches,matches_per90,matches_percentile,started,started_per90,started_percentile,minutes_played,minutes_played_per90,minutes_played_percentile,goals,goals_per90,goals_percentile,assists,assists_per90,assists_percentile,rating,rating_per90,rating_percentile,attack_goals,attack_expected_goals,attack_xg_difference,attack_non_penalty_xg,attack_shots,attack_shots_on_target,attack_shooting_accuracy,attack_conversion_rate,attack_big_chances_missed,attack_dribbles_succeeded,attack_dribble_success_rate,attack_touches_in_box,passing_assists,passing_expected_assists,passing_xa_difference,passing_key_passes,passing_chances_created,passing_successful_passes,passing_pass_accuracy,passing_long_balls_accurate,passing_long_ball_accuracy,passing_crosses_accurate,passing_cross_accuracy,possession_touches,possession_touches_in_box,possession_dispossessed,possession_fouls_won,possession_penalty_won,defense_tackles,defense_tackles_successful,defense_tackle_success_rate,defense_interceptions,defense_clearances,defense_blocked_shots,defense_duels_won,defense_duel_success_rate,defense_ground_duels_won,defense_ground_duel_success_rate,defense_aerials_won,defense_aerial_success_rate,defense_recoveries,defense_dribbled_past,defense_fouls_committed,discipline_yellow_cards,discipline_red_cards,discipline_fouls_committed,discipline_fouls_won,shot_total_shots,shot_goals,shot_on_target,shot_blocked,shot_off_target,shot_left_foot,shot_right_foot,shot_headed,shot_open_play,shot_free_kick,shot_penalty,shot_total_xg,shot_preferred_foot_ratio,shot_quality
2025-11-19T08:42:05.719Z,2025-11-19,212867,Heung-Min Son,,1992-07-08T00:00:00.000Z,33,South Korea,184 cm,Both,,Left Winger,Los Angeles FC,867280,Major League Soccer,130,2025,€18.8M,2027-12-31T00:00:00.000Z,No,,https://www.fotmob.com/players/212867,12,12,17.89,11,11,48.42,983,90,48.42,10,0.92,76.84,3,0.27,75.79,8.25,8.25,97.89,10,5.77,4.23,5.77,40,22,0,25,0,21,51.2,62,3,2.97,0.03,0,42,258,86,5,45.5,19,38,531,62,22,21,1,6,0,0,0,0,0,50,48.1,0,0,2,33.3,30,6,3,0,0,3,21,40,10,40,0,0,14,17,1,31,0,0,5.84,42.5,0.146
2025-11-19T08:42:12.848Z,2025-11-19,828159,Min-Jae Kim,,1996-11-15T00:00:00.000Z,29,South Korea,188 cm,Right,,Center Back,Bayern München,9823,Bundesliga,54,2025/2026,€35.6M,2028-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/828159,5,5,29.63,3,3,25.93,272,90,30.86,0,0,0,1,0.33,88.89,7.64,7.64,93.83,0,0,0,0,0,0,0,0,0,0,0,2,1,0.57,0.43,0,1,224,95.3,5,62.5,0,0,267,2,0,1,0,6,0,0,6,0,3,12,63.2,0,0,5,55.6,21,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-19T08:42:20.554Z,2025-11-19,940976,Kang-In Lee,,2001-02-19T00:00:00.000Z,24,South Korea,173 cm,Left,,Right Winger,Paris Saint-Germain,9847,Ligue 1,53,2025/2026,€25.5M,2028-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/940976,10,10,46.74,7,7,51.09,594,90,53.26,0,0,0,1,0.15,65.22,7.1,7.1,77.17,0,0.99,-0.99,0.99,18,5,0,0,0,7,41.2,19,1,1.79,-0.79,0,18,408,92.7,24,75,15,42.9,565,19,6,8,0,5,0,0,1,0,1,21,40.4,0,0,2,33.3,30,4,8,2,0,8,8,18,0,18,0,0,12,3,0,15,0,0,0.99,66.67,0.055
2025-11-19T08:42:27.183Z,2025-11-19,620026,Hee-Chan Hwang,,1996-01-26T00:00:00.000Z,29,South Korea,177 cm,Right,,Left Winger,Wolverhampton Wanderers,8602,Premier League,47,2025/2026,€9.7M,2028-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/620026,8,8,26.32,5,5,44.74,370,90,42.11,1,0.24,26.32,0,0,0,6.42,6.42,44.74,1,0.64,0.36,0.64,5,2,0,20,0,4,36.4,7,0,0.14,-0.14,0,2,66,71.7,3,60,1,16.7,161,7,1,6,0,5,0,0,1,0,0,17,50,0,0,2,50,5,2,6,0,0,6,6,5,1,5,0,0,1,1,1,3,0,0,0.64,20,0.129
2025-11-19T08:42:35.738Z,2025-11-19,623698,In-Beom Hwang,,1996-09-20T00:00:00.000Z,29,South Korea,177 cm,Both,,Central Midfielder,Feyenoord,10235,Eredivisie,57,2025/2026,€10.3M,2028-06-30T00:00:00.000Z,Yes,Injured,https://www.fotmob.com/players/623698,5,5,13.89,2,2,12.5,144,90,12.5,0,0,0,1,0.63,55.56,6.93,6.93,55.56,0,0.42,-0.42,0.42,3,0,0,0,0,0,0,1,1,0.36,0.64,0,4,71,79.8,3,50,3,60,124,1,0,6,0,6,0,0,2,0,0,18,75,0,0,6,66.7,11,1,1,0,0,1,6,3,0,3,0,0,0,3,0,3,0,0,0.42,100,0.14
2025-11-19T08:42:44.533Z,2025-11-19,1386482,Bae Jun-Ho,,2003-08-21T00:00:00.000Z,22,Korea Republic,178 cm,Right,,Left Winger,Stoke City,10194,Championship,48,2025/2026,€530K,,No,,https://www.fotmob.com/players/1386482,13,13,69.57,10,10,76.52,904,90,82.61,0,0,0,1,0.1,50.43,6.84,6.84,66.09,0,1.54,-1.54,1.54,15,5,0,0,0,15,60,21,1,1.06,-0.06,0,10,195,83,1,20,0,0,396,21,8,10,0,15,0,0,4,0,1,53,52.5,0,0,13,40.6,42,3,8,0,0,8,10,15,0,15,0,0,1,7,3,9,0,0,1.59,46.67,0.106
2025-11-19T08:42:51.052Z,2025-11-19,1609329,Min-Hyeok Yang,,2006-04-16T00:00:00.000Z,19,South Korea,176 cm,Right,,Left Winger,Portsmouth,8462,Championship,48,2025/2026,€6.8M,2030-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1609329,9,9,28.7,7,7,53.04,503,90,43.48,2,0.36,66.09,1,0.18,50.43,6.53,6.53,35.65,2,1.15,0.85,1.15,10,4,0,20,0,3,23.1,24,1,1.03,-0.03,0,8,86,74.8,1,20,1,9.1,224,24,13,9,0,6,0,0,2,0,1,19,27.5,0,0,2,10.5,28,5,6,2,0,6,9,10,2,10,0,0,1,5,0,6,0,0,1.15,50,0.115
2025-11-19T08:42:59.533Z,2025-11-19,523749,Jae-Sung Lee,,1992-08-10T00:00:00.000Z,33,South Korea,180 cm,Left,,Attacking Midfielder,Mainz 05,9905,Bundesliga,54,2025/2026,€1.5M,2026-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/523749,8,8,35.44,8,8,81.01,661,90,86.08,1,0.14,36.71,0,0,0,6.42,6.42,17.72,1,1.46,-0.46,1.46,13,4,0,7.69,0,1,33.3,34,0,0.47,-0.47,0,4,127,71.3,5,50,1,11.1,287,34,10,7,0,11,0,0,3,0,0,43,45.3,0,0,24,43.6,26,2,7,1,0,7,7,13,1,13,0,0,4,1,6,9,0,0,1.37,30.77,0.105
2025-11-19T08:43:06.730Z,2025-11-19,1026781,Gue-Sung Cho,,1998-01-25T00:00:00.000Z,27,South Korea,188 cm,Right,,Attacking Midfielder,FC Midtjylland,8113,Superligaen,46,2025/2026,€2.4M,2028-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1026781,10,10,27.91,3,3,16.28,344,90,20.93,3,0.78,62.79,0,0,0,6.53,6.53,23.26,3,1.06,1.94,1.06,7,6,0,42.86,0,3,50,17,0,0.07,-0.07,0,1,61,75.3,4,80,0,0,152,17,10,3,0,6,0,0,1,0,0,18,30.5,0,0,6,22.2,6,0,7,1,0,7,3,7,3,7,0,0,1,0,2,2,0,0,1.06,14.29,0.152
2025-11-19T08:43:14.351Z,2025-11-19,925345,Hyun-Seok Hong,,1999-06-16T00:00:00.000Z,26,South Korea,177 cm,Left,,Central Midfielder,Nantes,9830,Ligue 1,53,2025/2026,€2M,2028-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/925345,6,6,14.13,3,3,20.65,284,90,27.17,0,0,0,0,0,0,6.49,6.49,19.57,0,0.47,-0.47,0.47,4,2,0,0,0,2,100,6,0,0.06,-0.06,0,1,57,77,1,25,2,14.3,127,6,3,1,0,9,0,0,3,0,1,13,61.9,0,0,1,25,13,2,0,0,0,0,1,4,0,4,0,0,2,0,1,3,0,0,0.47,50,0.117
2025-11-19T08:43:22.260Z,2025-11-19,433677,Ui-Jo Hwang,,1992-08-28T00:00:00.000Z,33,South Korea,184 cm,Right,,Attacking Midfielder,Alanyaspor,4678,Super Lig,71,2025/2026,€673.9K,2027-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/433677,11,11,75,8,8,66.67,647,90,68.52,1,0.14,50.93,1,0.14,55.56,6.43,6.43,23.15,1,1.23,-0.23,1.23,13,5,0,7.69,0,4,33.3,23,1,0.28,0.72,0,5,92,71.9,5,71.4,2,25,211,23,4,10,0,0,0,0,0,0,0,17,37,0,0,5,33.3,10,3,4,0,0,4,10,13,1,13,0,0,4,8,0,12,0,0,1.23,61.54,0.095
2025-11-19T08:43:30.158Z,2025-11-19,1132818,Seol Young-Woo,,1998-12-05T00:00:00.000Z,26,Korea Republic,182 cm,Right,,Right Back,FK Crvena Zvezda,8687,Super Liga,182,2025/2026,€4.8M,,No,,https://www.fotmob.com/players/1132818,12,12,70.15,11,11,76.12,990,90,82.09,1,0.09,79.1,4,0.36,100,7.76,7.76,100,1,0,1,0,5,2,0,20,0,4,50,22,4,0,4,0,20,587,90.3,28,65.1,15,40.5,895,22,2,12,0,19,0,0,15,0,2,41,65.1,0,0,6,54.5,72,6,7,1,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
